component_type,machine_id,temperature,vibration,pressure,motor_current,production_speed,defect_count,humidity,torque,sensor_accuracy,risk_level
Steering,ST-118,69.29,2.3,144.9,29.14,85.45,0,31.19,354.05,90.71,0
Occupant Safety,OS-109,49.27,1.44,135.72,28.79,102.38,3,42.63,231.96,91.69,0
Airbag,AB-119,51.85,1.99,192.68,24.47,139.44,0,43.55,145.11,91.6,0
Steering,ST-119,73.74,3.55,163.31,29.11,100.59,4,49.46,329.35,94.2,0
Airbag,AB-117,41.38,1.15,233.86,21.39,77.92,0,63.36,169.8,97.24,0
Steering,ST-122,71.51,1.26,128.08,32.4,87.08,0,49.63,367.25,88.62,1
Seat Belt,SB-110,48.56,1.04,107.58,18.68,95.53,0,36.93,99.93,92.97,0
Occupant Safety,OS-115,66.53,2.89,158.84,29.27,127.52,2,64.15,144.55,96.78,0
Seat Belt,SB-122,49.02,2.02,103.32,17.2,103.47,0,57.41,140.4,99.99,0
Airbag,AB-101,57.43,1.19,293.66,27.86,123.64,0,47.23,187.34,90.76,0
Seat Belt,SB-106,43.26,1.77,116.06,14.81,123.15,0,45.35,126.95,99.4,0
Seat Belt,SB-113,54.69,2.24,94.11,24.06,81.24,0,36.69,147.79,92.69,0
Occupant Safety,OS-104,55.72,3.47,132.16,31.68,138.53,3,79.02,130.71,89.62,0
Seat Belt,SB-122,31.49,1.26,103.39,13.52,122.01,0,32.9,92.7,95.84,0
Occupant Safety,OS-110,54.15,3.13,138.78,22.82,120.23,7,65.68,137.68,96.78,1
Occupant Safety,OS-119,51.9,1.29,157.21,21.46,122.22,1,57.54,176.08,99.83,0
Airbag,AB-103,56.78,1.09,207.01,27.39,141.24,0,31.56,136.11,95.9,0
Steering,ST-117,56.14,1.26,142.14,26.83,85.58,0,35.0,366.22,99.59,0
Seat Belt,SB-101,46.44,1.58,85.69,13.02,100.12,0,39.85,98.37,98.59,0
Seat Belt,SB-119,35.15,0.56,97.47,20.19,172.28,0,31.77,91.02,95.64,0
Airbag,AB-123,57.48,2.01,234.38,28.4,120.9,0,54.72,193.54,93.1,0
Seat Belt,SB-101,44.92,0.84,104.33,19.4,134.45,0,32.37,87.6,92.45,0
Seat Belt,SB-122,59.45,1.54,119.96,23.99,84.25,0,53.29,133.95,99.51,0
Steering,ST-110,50.56,1.96,121.29,20.05,79.23,0,42.65,362.58,98.35,0
Steering,ST-102,80.49,3.11,148.09,42.35,103.53,6,59.37,319.65,95.13,1
Occupant Safety,OS-109,55.03,3.14,155.55,26.09,123.77,4,46.12,244.72,86.68,1
Occupant Safety,OS-105,50.55,2.81,116.89,19.53,114.46,0,55.0,242.59,94.12,0
Seat Belt,SB-117,59.89,2.19,96.54,22.11,127.25,0,66.55,95.23,98.69,1
Seat Belt,SB-125,49.2,1.35,114.01,20.62,127.66,0,41.96,125.39,93.05,0
Occupant Safety,OS-122,53.29,2.2,140.57,23.55,100.39,0,32.96,144.8,89.91,0
Occupant Safety,OS-118,41.78,1.89,96.66,19.38,127.59,3,48.79,160.54,87.83,1
Seat Belt,SB-103,34.43,1.12,83.89,10.15,171.37,0,52.31,89.85,99.11,0
Occupant Safety,OS-116,56.09,3.42,118.12,17.49,65.76,4,61.22,189.75,98.86,0
Steering,ST-111,64.0,2.69,103.43,27.94,89.01,0,46.7,370.96,91.63,0
Airbag,AB-109,73.51,2.39,246.28,29.79,129.24,0,52.79,137.15,97.63,0
Seat Belt,SB-120,59.96,0.67,99.34,21.53,83.4,0,30.95,93.42,96.63,0
Airbag,AB-108,74.79,1.98,200.24,24.21,85.86,0,74.64,177.33,97.17,0
Seat Belt,SB-105,38.75,1.55,103.11,15.13,90.99,0,35.06,116.89,98.46,0
Steering,ST-101,69.09,3.27,144.88,44.72,54.57,3,74.46,258.81,90.08,0
Seat Belt,SB-124,42.59,2.08,85.82,13.06,163.2,0,64.88,128.26,95.93,0
Steering,ST-124,78.18,3.92,152.72,39.64,65.76,7,42.44,311.84,91.2,0
Steering,ST-115,82.93,2.31,176.64,21.57,75.91,3,50.88,366.76,89.65,1
Airbag,AB-109,60.4,1.43,205.88,26.89,106.25,0,61.99,136.56,93.88,0
Seat Belt,SB-105,57.8,1.34,99.75,18.48,105.97,0,64.09,108.35,97.8,0
Occupant Safety,OS-114,53.07,2.18,115.01,15.5,113.69,3,66.67,127.73,99.17,0
Airbag,AB-105,44.66,2.5,198.97,17.5,80.01,0,34.94,212.86,91.76,0
Steering,ST-114,71.85,3.01,174.32,32.52,87.54,4,69.24,281.3,93.8,0
Seat Belt,SB-112,59.3,0.98,94.01,24.29,119.71,0,33.18,91.01,93.26,0
Seat Belt,SB-117,32.05,2.04,111.7,11.9,114.96,0,68.39,130.46,99.65,0
Steering,ST-116,57.38,1.16,166.06,44.19,64.27,1,62.6,275.05,92.78,0
Seat Belt,SB-113,46.36,2.12,96.97,21.09,120.01,0,34.5,121.59,98.37,0
Occupant Safety,OS-121,50.4,1.12,100.29,18.23,64.58,3,39.26,228.28,96.91,0
Seat Belt,SB-113,36.45,1.31,118.84,19.06,151.98,0,69.53,90.76,93.13,0
Airbag,AB-114,62.02,2.14,197.33,15.0,113.37,0,37.71,197.49,96.27,0
Seat Belt,SB-101,32.89,1.48,106.74,14.61,148.63,0,52.49,117.67,95.17,0
Steering,ST-119,58.73,1.34,140.19,36.62,80.34,0,74.02,320.99,98.72,0
Airbag,AB-121,69.35,2.32,272.79,19.18,65.9,0,63.63,145.0,91.83,0
Occupant Safety,OS-115,42.71,2.34,134.03,32.86,124.02,0,59.78,189.13,99.83,0
Steering,ST-114,65.41,3.81,109.14,35.48,81.33,4,53.69,257.89,95.16,0
Occupant Safety,OS-125,40.8,1.21,118.09,18.67,68.03,1,73.02,227.3,99.63,0
Occupant Safety,OS-115,57.93,1.27,93.9,16.86,130.01,3,48.87,210.37,95.3,0
Occupant Safety,OS-118,69.36,1.53,119.75,19.76,94.75,3,58.94,214.94,89.34,0
Occupant Safety,OS-106,52.67,1.06,154.33,29.31,74.47,3,37.38,232.2,88.2,0
Seat Belt,SB-109,38.12,1.8,95.36,15.84,155.5,0,62.96,90.11,92.29,0
Steering,ST-108,51.7,2.36,162.72,32.02,99.07,0,40.52,297.5,99.69,0
Steering,ST-117,49.25,3.21,149.61,28.27,83.89,2,67.04,270.33,99.11,0
Seat Belt,SB-110,51.6,2.0,81.93,21.81,170.29,0,38.47,137.25,97.19,0
Occupant Safety,OS-121,69.35,3.09,102.03,16.73,83.06,2,63.75,159.23,90.68,0
Seat Belt,SB-115,38.68,1.1,88.21,19.61,104.28,0,34.62,120.71,98.27,0
Seat Belt,SB-118,43.58,1.06,80.36,21.55,162.69,0,64.92,112.17,96.82,0
Steering,ST-123,75.79,2.3,156.52,37.83,117.65,1,34.56,261.78,93.33,0
Occupant Safety,OS-119,50.85,2.23,150.03,20.52,131.09,1,30.33,141.87,86.45,1
Occupant Safety,OS-102,47.31,2.71,101.62,19.24,67.03,2,32.52,171.33,97.68,0
Airbag,AB-118,58.46,1.52,250.49,22.27,88.99,0,74.35,132.49,99.4,0
Seat Belt,SB-116,33.41,0.77,102.52,23.33,170.96,0,37.89,140.79,94.76,0
Steering,ST-115,59.75,2.65,177.95,33.75,87.16,0,79.93,391.52,90.87,0
Occupant Safety,OS-125,36.77,3.05,144.77,24.54,60.96,3,70.44,136.66,88.56,0
Airbag,AB-106,66.64,2.92,220.5,17.68,138.01,0,43.14,151.02,99.98,0
Seat Belt,SB-120,45.33,2.1,112.01,20.67,176.8,0,66.91,137.18,93.42,0
Seat Belt,SB-108,48.42,0.67,80.55,23.47,97.99,0,40.86,109.23,96.51,0
Steering,ST-105,48.26,2.57,108.2,35.57,71.47,0,75.2,281.71,90.17,0
Airbag,AB-124,72.66,1.17,281.5,21.16,134.63,0,45.72,217.6,93.51,1
Steering,ST-113,61.42,2.02,148.99,43.91,115.46,3,48.07,279.56,92.63,0
Airbag,AB-120,50.82,1.73,193.04,16.12,95.6,0,30.41,180.62,98.87,0
Airbag,AB-109,45.67,2.95,252.91,29.16,119.7,0,60.81,204.99,99.28,0
Seat Belt,SB-120,41.0,1.66,87.08,20.27,101.6,0,68.55,94.91,98.59,0
Occupant Safety,OS-103,54.34,2.14,155.59,15.34,102.73,1,48.85,223.89,94.46,0
Seat Belt,SB-108,41.94,2.37,92.74,19.06,131.52,0,59.94,96.81,99.97,0
Occupant Safety,OS-117,53.67,1.52,143.37,24.83,70.51,3,79.69,161.54,98.96,0
Airbag,AB-118,49.88,1.63,182.28,20.84,129.04,0,38.55,152.41,96.38,0
Seat Belt,SB-120,30.77,1.81,91.2,24.06,162.25,0,59.87,127.62,94.26,0
Steering,ST-117,64.3,3.15,121.88,39.18,83.25,1,78.12,290.93,98.33,0
Airbag,AB-118,68.4,2.51,183.01,20.27,82.33,0,43.6,176.56,93.19,0
Occupant Safety,OS-124,56.22,1.21,108.6,32.31,65.31,3,53.57,142.29,90.71,0
Occupant Safety,OS-105,61.66,1.8,132.33,31.71,110.65,3,68.07,158.78,88.06,0
Seat Belt,SB-122,52.81,1.21,90.56,21.6,108.84,0,35.73,89.88,93.15,0
Seat Belt,SB-107,41.18,1.64,81.24,17.31,122.88,0,63.79,80.33,96.37,0
Seat Belt,SB-105,53.13,1.32,95.02,18.22,175.41,0,55.86,125.24,94.22,0
Seat Belt,SB-101,43.65,2.35,109.21,14.67,80.66,0,35.13,128.87,92.74,0
Occupant Safety,OS-125,69.99,1.8,98.32,26.96,125.33,0,64.56,157.16,90.99,0
Seat Belt,SB-108,32.75,1.09,107.31,21.07,103.51,0,33.84,96.3,93.69,0
Occupant Safety,OS-107,62.88,1.43,157.02,30.54,77.96,3,77.15,158.66,98.01,0
Airbag,AB-112,53.1,1.59,277.96,22.3,92.16,0,56.84,173.7,98.28,0
Steering,ST-115,47.07,1.76,126.01,43.68,99.48,3,41.63,383.99,92.43,1
Seat Belt,SB-112,33.84,2.25,117.72,10.01,119.27,0,53.33,133.29,94.83,0
Steering,ST-120,81.79,1.43,112.14,23.75,103.63,2,65.96,286.34,98.38,0
Occupant Safety,OS-119,45.54,1.08,114.02,23.01,79.14,2,44.12,172.09,96.74,0
Seat Belt,SB-116,57.25,2.21,89.61,21.7,134.47,0,56.17,101.54,95.16,1
Steering,ST-105,58.61,1.7,161.68,41.36,81.53,2,37.6,368.27,89.65,1
Steering,ST-120,67.4,2.7,162.57,42.0,103.99,3,50.21,274.77,90.25,0
Seat Belt,SB-105,58.79,2.01,81.3,22.36,84.05,0,46.75,143.33,95.57,1
Steering,ST-124,47.05,3.21,149.27,40.17,60.36,3,66.74,315.08,92.26,0
Occupant Safety,OS-114,48.78,3.08,153.9,34.13,137.41,5,41.76,141.49,93.27,1
Airbag,AB-110,66.49,2.67,263.77,26.1,124.69,0,34.84,155.46,91.96,0
Occupant Safety,OS-108,41.43,3.34,94.23,31.45,69.64,2,32.26,128.61,97.8,0
Seat Belt,SB-102,33.23,2.37,92.95,22.77,123.12,0,44.6,149.16,95.66,0
Steering,ST-109,67.63,3.6,124.56,38.14,101.36,2,74.44,296.53,98.4,0
Seat Belt,SB-112,50.44,0.53,88.89,22.51,96.18,0,54.89,137.44,95.96,0
Seat Belt,SB-116,32.58,1.33,91.64,17.71,166.63,0,62.41,105.26,93.95,0
Occupant Safety,OS-112,36.2,1.3,150.91,19.83,94.66,0,73.3,141.26,98.64,0
Occupant Safety,OS-106,56.0,3.3,137.21,23.2,63.59,3,34.57,246.63,98.83,0
Steering,ST-125,57.72,2.42,175.33,43.29,97.55,3,70.51,319.65,92.87,0
Steering,ST-105,79.64,2.7,104.49,34.35,57.66,1,77.52,250.93,94.09,0
