component_type,machine_id,temperature,vibration,pressure,motor_current,production_speed,defect_count,humidity,torque,sensor_accuracy,risk_level
Steering,M-254,41.98,1.29,61.24,14.02,179.51,0,29.74,245.4,82.72,0
Occupant Safety,M-656,49.08,1.51,97.95,25.88,144.34,0,53.34,164.21,97.26,0
Airbag,M-716,40.35,4.68,179.8,13.47,56.87,1,56.8,390.44,88.88,0
Steering,M-616,91.54,1.69,222.01,40.89,103.97,3,70.59,248.09,96.69,1
Occupant Safety,M-775,48.58,2.23,152.95,23.89,191.51,0,55.3,197.79,95.45,0
Occupant Safety,M-291,62.89,0.98,192.39,20.14,194.78,0,73.24,281.49,85.92,0
Occupant Safety,M-302,59.92,2.46,162.81,38.21,139.26,0,50.73,168.35,86.8,0
Occupant Safety,M-906,59.68,4.99,207.65,34.53,156.97,1,20.71,244.21,94.86,0
Steering,M-680,33.68,1.2,123.94,14.29,130.85,0,28.6,154.75,80.45,0
Occupant Safety,M-733,77.17,0.78,153.9,18.25,161.83,0,55.14,62.53,83.66,0
Occupant Safety,M-488,29.84,3.43,114.2,7.25,61.73,1,74.45,381.75,90.39,0
Airbag,M-283,34.81,3.75,201.93,16.43,177.64,2,27.03,61.84,80.05,0
Seat Belt,M-506,57.31,0.64,129.66,37.64,142.0,0,35.08,119.27,84.31,0
Occupant Safety,M-344,45.71,1.97,234.72,29.49,197.5,0,41.89,117.02,87.93,0
Seat Belt,M-386,25.2,0.15,150.32,45.7,127.43,1,65.06,362.73,85.01,0
Steering,M-654,70.6,3.69,156.47,38.52,140.55,2,84.67,311.83,85.42,0
Seat Belt,M-145,62.25,1.1,158.91,20.0,97.9,0,76.6,51.49,85.83,0
Occupant Safety,M-157,27.63,2.08,64.4,19.92,133.37,0,40.2,82.65,81.3,0
Steering,M-943,74.3,1.94,241.96,9.97,191.59,0,54.8,362.17,93.99,0
Occupant Safety,M-897,28.67,4.16,175.04,30.39,143.55,1,57.67,173.65,81.09,0
